prox_to	prox_ct	n_proximal	pval	pvale_adjust	or	or05	or95	log_or95	log_or05	log_or
B1	B1	139	1.5473472555639e-32	1.34103428815538e-31	3.69468979256585	3.03289965417273	4.47719193280126	1.4989960491912	1.1095191434815	1.30689659757842
F1	B1	92	1.60651909199754e-07	4.17694963919361e-07	0.587820348851382	0.470179827140094	0.7271786976962	-0.318583030145019	-0.754640046518563	-0.531333906931371
F2	B1	35	0.000960244192416356	0.00166442326685502	0.580021542225435	0.400386571313652	0.815140737084502	-0.204394497110094	-0.915324770281182	-0.544690034363419
F3	B1	27	1.95909220383126e-15	1.27340993249032e-14	0.281227572880765	0.184249403023232	0.411998017240677	-0.886736742166821	-1.69146498795467	-1.26859106951137
L1	B1	29	0.197916260764962	0.245039179994715	0.772610819041427	0.511358784905027	1.1253936133717	0.118132853015774	-0.670683812049728	-0.257979825429122
L2	B1	61	4.15465995158464e-06	9.82010534010916e-06	1.99946858581963	1.49951354415804	2.62660054234688	0.96569044065138	0.405140751615646	0.692881438163378
L3	B1	16	0.223227537081356	0.263814362005239	0.70599933762353	0.398128334308682	1.1664887680528	0.15399818367414	-0.920980877661123	-0.348140979699632
L4	B1	2	1	1	0.854958565588334	0.0993484297950657	3.34574109126534	1.20768822098897	-2.30912211488962	-0.156702272519858
L5	B1	6	0.31722964567769	0.358607425548693	1.46042401992992	0.514441007083676	3.37945494335492	1.21771443712879	-0.664674390955197	0.378726818164714
L6	B1	8	0.0075845416870296	0.0106636541046908	3.14099530715831	1.2599699334077	6.8789936178628	1.92847236477238	0.231087858303836	1.14453972649564
M1	B1	41	6.0087147717674e-11	2.23180834379932e-10	0.400894142089613	0.285756496158724	0.548117283975304	-0.601265993080786	-1.25261524285181	-0.914057871339625
M2	B1	18	3.87404742265149e-15	2.01450465977877e-14	0.229921636926958	0.135536567237147	0.365830362234297	-1.00558554418913	-1.99851380616161	-1.47001673712667
M3	B1	46	0.0165300106126621	0.0214890137964607	1.48262047654275	1.06701902050806	2.01720106472903	0.701710939045512	0.0648687983163644	0.39381111438398
M4	B1	75	0.000944400748569753	0.00166442326685502	1.53636441539772	1.19048304236312	1.95830427030202	0.672078930555146	0.174359142713234	0.42941885619413
M5	B1	8	5.37402533836526e-10	1.74655823496871e-09	0.187451673334636	0.0804725203777007	0.372302790809604	-0.988047802000473	-2.5198395146025	-1.67423420900818
M6	B1	4	0.00779267030727403	0.0106636541046908	0.304091865945299	0.0819446017850206	0.792704817195836	-0.232304362210555	-2.50171184801784	-1.19042543261677
M7	B1	2	1	1	0.705212491688697	0.0825241648561794	2.7218516133219	1.00131238890128	-2.49466412118285	-0.349256114933094
M8	B1	23	0.00427752408584745	0.0069509766395021	1.9986759352216	1.23009219677327	3.10989145818175	1.1345878246759	0.207089123301448	0.692484928930536
M9	B1	18	1.3207645404187e-05	2.86165650424052e-05	3.6970163412665	2.06761774353644	6.29132188609265	1.839171205404	0.726397096009463	1.30752610008714
Olig1	B1	13	0.000256390686922732	0.000512781373845465	0.395142214814947	0.2085274165828	0.683641529098803	-0.380321579002557	-1.56768475198599	-0.92850954137277
Olig2	B1	23	0.340507747010206	0.36888339259439	1.22630232453905	0.762681551160428	1.88367739665494	0.633225928294081	-0.27091469895932	0.204003401355318
Tumor1	B1	1619	2.79209900241837e-142	7.25945740628776e-141	2.68362523397126	2.48469601803597	2.89857440465581	1.06421903152366	0.910150325319977	0.987168579692371
Tumor2	B1	327	1.05231010772403e-63	1.36800314004124e-62	0.402612864356256	0.356925847099145	0.452933282547414	-0.792010443490522	-1.03022722998434	-0.909779813092066
Tumor3	B1	152	1.40469816967985e-09	4.05801693463069e-09	0.614406731730286	0.516402543711067	0.726565099106702	-0.319427193507621	-0.660868694167664	-0.487098140616435
Tumor4	B1	73	0.00765315890292028	0.0106636541046908	0.727775127661728	0.565318497629155	0.92431703044951	-0.0787001596409553	-0.570365994043994	-0.31776316907652
Tumor5	B1	37	7.03050373814957e-12	3.04655161986481e-11	0.370781332112369	0.259368207262799	0.514989422343059	-0.663608917669024	-1.34950657720642	-0.992142791454307
