anchor_cell	prox_cell	distance	angle	idx_bin	idx	anchor_cell_ct	prox_cell_ct	sample
TMA1_aaacpkpn-1	TMA1_aaachjpb-1	67.7887319728438	328.708222980038	7	1	Tumor4	M7	UPN109-E1
TMA1_bkpghejn-1	TMA1_aaachjpb-1	37.3786395136473	198.967377498801	4	1	L3	M7	UPN109-E1
TMA1_cdbangpe-1	TMA1_aaachjpb-1	62.1026160102463	215.37897602246	4	1	F1	M7	UPN109-E1
TMA1_ceomdnad-1	TMA1_aaachjpb-1	85.6927772447425	19.2227473106391	0	1	Tumor1	M7	UPN109-E1
TMA1_cfcpcihp-1	TMA1_aaachjpb-1	73.672460096995	43.158190158495	0	1	Tumor2	M7	UPN109-E1
TMA1_cfcpekcb-1	TMA1_aaachjpb-1	75.544290513385	47.2396396607655	1	1	Tumor3	M7	UPN109-E1
TMA1_cfejjbok-1	TMA1_aaachjpb-1	61.1974297791179	336.50082369286	7	1	Tumor1	M7	UPN109-E1
TMA1_cfejjlgi-1	TMA1_aaachjpb-1	54.0471996045077	357.324433204634	7	1	Tumor4	M7	UPN109-E1
TMA1_cfekmfee-1	TMA1_aaachjpb-1	68.9760763756311	310.295497038945	6	1	Tumor4	M7	UPN109-E1
TMA1_cfgkhagk-1	TMA1_aaachjpb-1	80.5560235378951	287.835302422571	6	1	Tumor2	M7	UPN109-E1
TMA1_nolaalab-1	TMA1_aaachjpb-1	74.170918362662	274.510935777272	6	1	F1	M7	UPN109-E1
TMA1_cfejjbok-1	TMA1_aaacpkpn-1	10.9574181255508	99.4849883369637	2	1	Tumor1	Tumor4	UPN109-E1
TMA1_cfekmfee-1	TMA1_aaacpkpn-1	21.9124804750193	232.567946430503	5	1	Tumor4	Tumor4	UPN109-E1
TMA1_cffcabib-1	TMA1_aaacpkpn-1	88.1306821519826	321.122055745617	7	1	Tumor2	Tumor4	UPN109-E1
TMA1_cffcpdbp-1	TMA1_aaacpkpn-1	96.6963689061685	311.429574189035	6	1	Tumor1	Tumor4	UPN109-E1
TMA1_cfggbjei-1	TMA1_aaacpkpn-1	75.3177739508811	265.377174445017	5	1	Tumor2	Tumor4	UPN109-E1
TMA1_aaajabkm-1	TMA1_aaafbgke-1	17.7525876419	40.2379777686733	0	1	Tumor4	F3	UPN109-E1
TMA1_aabolbaa-1	TMA1_aaafbgke-1	26.0608278948534	345.985887425549	7	1	F3	F3	UPN109-E1
TMA1_cehbgmko-1	TMA1_aaafbgke-1	58.2756312328544	275.102698923186	6	1	Tumor2	F3	UPN109-E1
TMA1_cehbpbhd-1	TMA1_aaafbgke-1	35.2796198871251	294.622333280962	6	1	F3	F3	UPN109-E1
TMA1_cehpgpki-1	TMA1_aaafbgke-1	22.8518228904039	313.722584956094	6	1	Tumor1	F3	UPN109-E1
TMA1_ceianfbh-1	TMA1_aaafbgke-1	18.6803841554705	111.703933843092	2	1	Tumor1	F3	UPN109-E1
TMA1_ceiilmml-1	TMA1_aaafbgke-1	56.1430681751022	218.538463589289	4	1	Tumor1	F3	UPN109-E1
TMA1_cdpphgdo-1	TMA1_aaafdljl-1	8.68757043782502	352.626139707682	7	1	Tumor2	L3	UPN109-E1
TMA1_cdpppkhl-1	TMA1_aaafdljl-1	15.6429313613116	72.1351396220768	1	1	L1	L3	UPN109-E1
TMA1_ceadlnne-1	TMA1_aaafdljl-1	16.1885089504601	153.582565245417	3	1	Tumor1	L3	UPN109-E1
TMA1_ceaeoccp-1	TMA1_aaafdljl-1	37.2735451053305	223.269809297967	4	1	Tumor1	L3	UPN109-E1
TMA1_aabhjcpj-1	TMA1_aaafohcc-1	44.9032298501332	13.2546829294031	0	1	Tumor1	M8	UPN109-E1
TMA1_gckdlbcl-1	TMA1_aaafohcc-1	60.2038520578004	330.070934961207	7	1	Tumor3	M8	UPN109-E1
TMA1_gckdpodm-1	TMA1_aaafohcc-1	55.9951211238784	317.903494156244	7	1	F3	M8	UPN109-E1
TMA1_gckjphca-1	TMA1_aaafohcc-1	42.2682402022045	261.742970780117	5	1	Tumor1	M8	UPN109-E1
TMA1_gjljpchn-1	TMA1_aaafohcc-1	48.878091641789	359.260760952879	7	1	Tumor3	M8	UPN109-E1
TMA1_gjlnngom-1	TMA1_aaafohcc-1	48.0355976968871	94.3308533171132	2	1	Tumor1	M8	UPN109-E1
TMA1_gjlpbjio-1	TMA1_aaafohcc-1	11.4281553674325	146.744811209145	3	1	Tumor2	M8	UPN109-E1
TMA1_aaahiida-1	TMA1_aaagkaif-1	52.6119224445946	221.523582022844	4	1	Tumor3	F3	UPN109-E1
TMA1_cdnjkohm-1	TMA1_aaagkaif-1	43.5745793374264	219.579015438623	4	1	Tumor1	F3	UPN109-E1
TMA1_cdohcphp-1	TMA1_aaagkaif-1	40.8897161561327	173.874389129826	3	1	Tumor1	F3	UPN109-E1
TMA1_cdohdbln-1	TMA1_aaagkaif-1	28.6089519259027	159.6690855104	3	1	Tumor2	F3	UPN109-E1
TMA1_cdomdkba-1	TMA1_aaagkaif-1	59.6697364457877	115.952778787386	2	1	Tumor1	F3	UPN109-E1
TMA1_gcjjaigo-1	TMA1_aaagkaif-1	44.1963454623631	277.493958341065	6	1	Tumor1	F3	UPN109-E1
TMA1_gcjloikd-1	TMA1_aaagkaif-1	44.3301313596339	329.381233876555	7	1	Tumor1	F3	UPN109-E1
TMA1_gjnefpep-1	TMA1_aaagkaif-1	45.3330057403471	87.8395255692649	1	1	F3	F3	UPN109-E1
TMA1_gjnfgnei-1	TMA1_aaagkaif-1	48.5323949385254	64.9579283620237	1	1	Tumor2	F3	UPN109-E1
TMA1_gjngmahg-1	TMA1_aaagkaif-1	52.0269425588125	41.3952985855088	0	1	Tumor1	F3	UPN109-E1
TMA1_aacnhkmp-1	TMA1_aaahiida-1	7.66023991221524	174.205097119927	3	1	Tumor1	Tumor3	UPN109-E1
TMA1_aaecfijf-1	TMA1_aaahiida-1	57.523475202439	291.974990657156	6	1	Tumor1	Tumor3	UPN109-E1
TMA1_cdnjkohm-1	TMA1_aaahiida-1	9.18226600307283	50.7901250039689	1	1	Tumor1	Tumor3	UPN109-E1
TMA1_gcjjaogb-1	TMA1_aaahiida-1	50.7185352107005	309.322628733083	6	1	Tumor2	Tumor3	UPN109-E1
TMA1_aaaiolkl-1	TMA1_aaailien-1	5.09707369344005	171.311007890526	3	1	Tumor2	Tumor1	UPN109-E1
TMA1_cdhpceoi-1	TMA1_aaailien-1	38.7782379420807	313.465569713079	6	1	Tumor1	Tumor1	UPN109-E1
TMA1_cdidface-1	TMA1_aaailien-1	68.9867406839075	284.409164364036	6	1	Tumor2	Tumor1	UPN109-E1
TMA1_cdpmhdfk-1	TMA1_aaailien-1	47.9410303449692	260.201609853426	5	1	Tumor1	Tumor1	UPN109-E1
TMA1_cebadice-1	TMA1_aaailien-1	51.6540281252942	64.8479401048401	1	1	Tumor1	Tumor1	UPN109-E1
TMA1_gcmpmobg-1	TMA1_aaailien-1	49.3979412646981	26.0468357005057	0	1	Tumor1	Tumor1	UPN109-E1
TMA1_gcnamijp-1	TMA1_aaailien-1	36.7669935867431	351.455275630682	7	1	M8	Tumor1	UPN109-E1
TMA1_aaailien-1	TMA1_aaaiolkl-1	5.09707369344005	351.311007890526	7	1	Tumor1	Tumor2	UPN109-E1
TMA1_cdhpceoi-1	TMA1_aaaiolkl-1	42.9173237686252	317.644202915982	7	1	Tumor1	Tumor2	UPN109-E1
TMA1_cdpkakkd-1	TMA1_aaaiolkl-1	21.5297337304047	208.029643848691	4	1	Tumor1	Tumor2	UPN109-E1
TMA1_cdpphgdo-1	TMA1_aaaiolkl-1	34.2125196533161	157.914557963823	3	1	Tumor2	Tumor2	UPN109-E1
TMA1_cdpppkhl-1	TMA1_aaaiolkl-1	45.770262480961	140.898402639896	3	1	L1	Tumor2	UPN109-E1
TMA1_ceaoegbc-1	TMA1_aaaiolkl-1	51.142266382648	120.878337752406	2	1	Tumor1	Tumor2	UPN109-E1
TMA1_gcmdfcod-1	TMA1_aaaiolkl-1	57.9709898302594	42.8388915587041	0	1	Tumor2	Tumor2	UPN109-E1
TMA1_aaafbgke-1	TMA1_aaajabkm-1	17.7525876419	220.237977768673	4	1	F3	Tumor4	UPN109-E1
TMA1_aabolbaa-1	TMA1_aaajabkm-1	21.3013063555293	303.423972628378	6	1	F3	Tumor4	UPN109-E1
TMA1_ceiajgmh-1	TMA1_aaajabkm-1	23.704881194718	131.543173973665	2	1	M8	Tumor4	UPN109-E1
TMA1_ceianfbh-1	TMA1_aaajabkm-1	21.2904913134082	163.943733984111	3	1	Tumor1	Tumor4	UPN109-E1
TMA1_aaafbgke-1	TMA1_aaakeenm-1	50.0748629278232	86.0788286735677	1	1	F3	Tumor1	UPN109-E1
TMA1_aaajabkm-1	TMA1_aaakeenm-1	63.7278488243779	74.5507981906428	1	1	Tumor4	Tumor1	UPN109-E1
TMA1_aaakgcnf-1	TMA1_aaakeenm-1	49.4272857897692	271.957651628886	6	1	Tumor4	Tumor1	UPN109-E1
TMA1_cehbgmko-1	TMA1_aaakeenm-1	11.810498073648	316.785398218116	7	1	Tumor2	Tumor1	UPN109-E1
TMA1_cehbpbhd-1	TMA1_aaakeenm-1	25.4626975845518	44.622611015279	0	1	F3	Tumor1	UPN109-E1
TMA1_ceignjhj-1	TMA1_aaakeenm-1	76.2670913881413	116.711751110699	2	1	Tumor1	Tumor1	UPN109-E1
